State,Streaming service
Alabama,Netflix
Alaska,Netflix
Arizona,Amazon Prime
Arkansas,Amazon Prime
California,Netflix
Colorado,Amazon Prime
Connecticut,Netflix
Delaware,Amazon Prime
Florida,ESPN
Georgia,Amazon Prime
Hawaii,Amazon Prime
Idaho,Amazon Prime
Illinois,Netflix
Indiana,Amazon Prime
Iowa,Amazon Prime
Kansas,ESPN
Kentucky,ESPN
Louisiana,Amazon Prime
Maine,Amazon Prime
Maryland,Amazon Prime
Massachusetts,Hulu
Michigan,Amazon Prime
Minnesota,Amazon Prime
Mississippi,Amazon Prime
Missouri,ESPN
Montana,Hulu
Nebraska,Amazon Prime
Nevada,Amazon Prime
New Hampshire,Amazon Prime
New Jersey,Amazon Prime
New Mexico,Amazon Prime
New York,Amazon Prime
North Carolina,Amazon Prime
North Dakota,Amazon Prime
Ohio,Amazon Prime
Oklahoma,Amazon Prime
Oregon,Amazon Prime
Pennsylvania,Amazon Prime
Rhode Island,Amazon Prime
South Carolina,Amazon Prime
South Dakota,Amazon Prime
Tennessee,Amazon Prime
Texas,Amazon Prime
Utah,Netflix
Vermont,Amazon Prime
Virginia,ESPN
Washington,Amazon Prime
West Virginia,Amazon Prime
Wisconsin,Amazon Prime
Wyoming,Amazon Prime
