crash_date,zip_code,latitude,longitude
2020-04-15,NA,40.671585,-73.99843
2020-04-17,10019,40.77161,-73.99046
2020-09-06,NA,40.771038,-73.83413
2020-04-21,NA,40.877796,-73.86806
2020-05-02,11436,40.67376,-73.79473
2020-12-08,NA,40.69657,-73.95844
2020-12-31,10036,40.7602,-73.996864
2020-05-08,NA,40.665848,-73.74822
2020-05-10,NA,40.712288,-73.92731
2020-05-10,10032,40.84103,-73.94463
2020-05-16,NA,40.774166,-73.9031
2020-12-31,NA,40.74026,-73.990524
2020-12-13,10456,40.82782,-73.9063
2020-12-29,NA,40.838757,-73.882904
2020-12-18,10467,40.864235,-73.86452
2020-12-04,11212,40.655487,-73.90287
2020-12-31,NA,40.84518,-73.91417
2020-05-25,10457,40.851665,-73.89175
2020-12-28,11208,40.68216,-73.87386
2020-05-26,NA,40.65183,-74.003334
2020-08-14,NA,40.6517,-73.97698
2020-12-27,NA,40.669273,-73.922554
2020-12-26,NA,40.83022,-73.94769
2020-12-15,NA,40.671585,-73.99843
2020-12-15,NA,40.759205,-73.98464
2020-12-20,NA,40.682873,-73.76143
2020-12-17,11233,40.67599,-73.921486
2020-12-16,NA,40.86241,-73.9225
2020-12-16,11428,40.7139,-73.7539
2020-12-17,10470,40.901344,-73.86446
2020-12-12,NA,40.895195,-73.88012
2020-12-09,NA,40.771145,-73.89882
2020-12-08,11226,40.63902,-73.957855
2020-12-08,NA,40.694893,-73.95342
2020-12-08,NA,40.762676,-73.954346
2020-08-01,10462,40.840508,-73.85515
2020-06-04,11368,40.744232,-73.861275
2020-12-14,11228,40.616047,-74.025734
2020-12-06,NA,40.789528,-73.820435
2020-12-19,10468,40.869232,-73.901146
2020-12-03,NA,40.798504,-73.967125
2020-12-22,NA,40.6867,-73.9982
2020-11-28,NA,40.651863,-73.86536
2020-12-22,11234,40.62853,-73.9221
2020-10-03,NA,40.85482,-73.9112
2020-12-19,11378,40.72362,-73.88802
2020-06-06,NA,40.69642,-73.95978
2020-12-09,11209,40.631516,-74.02183
2020-11-14,NA,40.81766,-73.93076
2020-06-11,11208,40.67743,-73.87591
2020-06-06,10451,40.824898,-73.927635
2020-06-08,10457,40.844970000000004,-73.90247
2020-06-12,NA,40.668797,-73.93113
2020-12-23,NA,40.830986,-73.91139
2020-05-21,11207,40.68484,-73.906720000000007
2020-12-29,11208,40.66544,-73.8747
2020-12-12,10034,40.864857,-73.92572
2020-12-20,11691,40.601078,-73.75617
2020-10-31,NA,40.674786,-73.8762
2020-10-31,NA,40.66618,-73.74059
2020-06-19,11204,40.62183,-73.98693
2020-06-15,11201,40.688877,-73.98991
2020-12-17,11208,40.66795,-73.86121
2020-12-10,11222,40.726677,-73.95247
2020-06-21,11434,40.67114,-73.76741
2020-12-20,NA,40.719734,-73.78652
2020-12-26,NA,40.762093,-73.75691
2020-12-18,NA,40.66584,-73.75551
2020-06-23,NA,40.74206,-73.82453
2020-12-10,10467,40.872234,-73.86483
2020-12-01,11203,40.655094,-73.934654
2020-11-23,11212,40.65705,-73.9141
2020-10-28,NA,40.69731,-73.932274
2020-11-08,11367,40.73225,-73.81769
2020-11-26,NA,40.868015,-73.89997
2020-10-17,NA,40.642864,-74.01266
2020-12-15,11211,40.71372,-73.93497
2020-12-16,10452,40.835052,-73.92615
2020-12-09,10304,40.608727,-74.08839
2020-12-12,11234,40.61258,-73.9183
2020-12-23,11236,40.634945,-73.89096
2020-12-10,NA,40.770256,-73.91586
2020-12-31,11231,40.68243,-73.991844
2020-12-18,NA,40.72766,-74.001396
2020-12-28,11222,40.729794,-73.95408
2020-12-10,NA,40.615395,-74.15519
2020-12-09,11233,40.68296,-73.91721
2020-12-12,NA,40.697254,-73.91563
2020-12-11,NA,40.600517,-74.162964
2020-12-19,11249,40.71634,-73.96386
2020-12-25,11411,40.701622,-73.72994
2020-12-16,NA,40.83543,-73.92341
2020-12-18,10301,40.63732,-74.08056
2020-12-13,NA,40.84863,-73.92762
2020-12-29,NA,40.826153,-73.920265
2020-12-10,11691,40.595913,-73.7715
2020-12-16,NA,40.65743,-73.9451
2020-12-30,11435,40.716114,-73.811874
2020-12-17,11238,40.687008,-73.96331
2020-12-08,11219,40.631584,-74.00916
2020-12-19,11436,40.682358,-73.79376
2020-12-19,11212,40.656097,-73.91743
2020-12-19,NA,40.66626,-73.884026
2020-12-31,11234,40.623344,-73.93097
2020-12-21,NA,40.72245,-73.84626
2020-12-21,NA,40.78775,-73.947464
2020-12-23,11432,40.709354,-73.79706
2020-12-22,NA,40.69864,-73.93819
2020-12-16,10457,40.8385,-73.90598
2020-12-30,11212,40.66147,-73.91352
2020-12-30,11234,40.62877,-73.92502
2020-12-25,11212,40.659756,-73.90628
2020-12-16,NA,40.60812,-74.12112
2020-12-11,10312,40.540016,-74.19585
2020-12-15,NA,40.673782,-73.87405
2020-12-09,10305,40.59171,-74.077446
2020-12-10,11432,40.711758,-73.79563
2020-12-28,11414,40.664192,-73.841125
2020-12-29,11213,40.663754,-73.937164
2020-12-21,NA,40.65965,-73.773834
2020-12-17,11231,40.678925,-74.01106
2020-12-10,11413,40.680115,-73.75324
2020-12-31,11436,40.668728,-73.792625
2020-12-26,10305,40.58603,-74.09256
2020-12-18,10459,40.830837,-73.8987
2020-12-12,11224,40.576252,-73.98824
2020-12-11,11212,40.659107,-73.923225
2020-12-16,NA,40.69146,-73.88547
2020-12-26,11228,40.61847,-74.021225
2020-12-14,11416,40.689934,-73.842545
2020-12-25,NA,40.824184,-73.937225
2020-12-13,10466,40.890842,-73.84289
2020-12-23,10029,40.796116,-73.94558
2020-12-26,NA,40.75326,-74.00383
2020-12-30,11207,40.664864,-73.89697
2020-12-22,11231,40.677353,-74.00446
2020-12-12,NA,40.87356,-73.81853
2020-12-23,11368,40.74664,-73.86221
2020-12-21,10458,40.851498,-73.88383
2020-12-10,10465,40.812084,-73.80711
2020-12-29,11222,40.735962,-73.9525
2020-12-30,11230,40.629543,-73.96608
2020-12-21,11238,40.67828,-73.958855
2020-12-11,11429,40.712944,-73.74524
2020-12-19,10452,40.84104,-73.92195
2020-12-30,11224,40.580658,-73.985664
2020-12-14,NA,40.69942,-73.86878
2020-12-22,NA,40.731064,-74.00142
2020-12-24,10473,40.820267,-73.876274
2020-12-23,10452,40.840874,-73.91979
2020-12-11,10013,40.718296,-73.99591
2020-12-11,NA,40.852516,-73.90001
2020-12-12,NA,40.861744,-73.911804
2020-12-24,NA,40.714104,-73.95322
2020-12-13,NA,40.69535,-73.91632
2020-12-29,NA,40.775368,-73.90962
2020-12-14,11230,40.630848,-73.97499
2020-12-16,11215,40.660137,-73.983925
2020-12-31,10459,40.832165,-73.894806
2020-12-11,10466,40.89339,-73.857376
2020-12-26,11211,40.701397,-73.95808
2020-12-23,10035,40.803696,-73.93792
2020-12-26,NA,40.764286,-73.95562
2020-12-19,NA,40.846443,-73.826004
2020-12-28,NA,40.84065,-73.91902
2020-12-10,11434,40.664623,-73.76899
2020-12-15,11691,40.610153,-73.745384
2020-12-26,10472,40.827656,-73.8861
2020-12-29,11434,40.67715,-73.79087
2020-12-16,10462,40.83419,-73.85186
2020-12-10,NA,40.754875,-73.96853
2020-12-09,11233,40.684353,-73.9276
2020-12-24,NA,40.71741,-73.984
2020-12-15,11207,40.683983,-73.89456
2020-12-14,11208,40.687317,-73.87021
2020-12-16,11432,40.712368,-73.79391
2020-12-28,10463,40.87314,-73.90572
2020-12-28,NA,40.826523,-73.93116
2020-12-22,10025,40.78911,-73.96656
2020-12-18,10453,40.848637,-73.91169
2020-12-21,11208,40.682766,-73.86623
2020-12-24,NA,40.6338,-73.8897
2020-12-15,NA,40.66559,-73.83132
2020-12-12,NA,40.58502,-74.14763
2020-12-27,11419,40.689827,-73.81291
2020-12-15,NA,40.801914,-73.95348
