state,population
Alabama,4893186
Alaska,736990
Arizona,7174064
Arkansas,3011873
California,39346023
Colorado,5684926
Connecticut,3570549
Delaware,967679
District of Columbia,701974
Florida,21216924
Georgia,10516579
Hawaii,1420074
Idaho,1754367
Illinois,12716164
Indiana,6696893
Iowa,3150011
Kansas,2912619
Kentucky,4461952
Louisiana,4664616
Maine,1340825
Maryland,6037624
Massachusetts,6873003
Michigan,9973907
Minnesota,5600166
Mississippi,2981835
Missouri,6124160
Montana,1061705
Nebraska,1923826
Nevada,3030281
New Hampshire,1355244
New Jersey,8885418
New Mexico,2097021
New York,19514849
North Carolina,10386227
North Dakota,760394
Ohio,11675275
Oklahoma,3949342
Oregon,4176346
Pennsylvania,12794885
Rhode Island,1057798
South Carolina,5091517
South Dakota,879336
Tennessee,6772268
Texas,28635442
Utah,3151239
Vermont,624340
Virginia,8509358
Washington,7512465
West Virginia,1807426
Wisconsin,5806975
Wyoming,581348
Puerto Rico,3255642
